"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"Poison_QueenSpiderBlood_Title","Queen Spider's Blood"
"Poison_QueenSpiderBlood_Description","A legendary poison that deals enormous damage."
"Poisoned_Arrow_Title","Poisoned Arrow"
"Poisoned_Arrow_MaraikesTorpor_Description","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Maraike's Torpor."
"Poisoned_Arrow_ArunsLight_Description","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Arun's Light."
"Poisoned_Arrow_DarkStab_Description","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Dark Stab."
"Poisoned_Arrow_DeepPain_Description","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Deep Pain."
"Poisoned_Arrow_SpiderQueenBlood_Description","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Spider Queen's Blood."
"Poisoned_Arrow_TheBurden_Title","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use The Burden."
"Poisoned_Arrow_TigerFang_Description","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Tiger Fang."
"Poisoned_Arrow_TheLongNight_Title","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use The Long Night."
"Poisoned_Arrow_Basic_Title","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use basic poison."
"Poisoned_Arrow_BrimstoneFang_Title","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Brimstone Fang."
"Poisoned_Bolt_Title","Poisoned Bolt"
"Poisoned_Arrow_ArivadsKiss_Title","Poisoned Arrow"
"Poisoned_Arrow_ArivadsKiss_Description","These projectiles have a small pocket of poison attached to their tip, so they will deal the effect of poison on a successful hit. These particular arrows use Arivad's Kiss."
"Poisoned_Arrow_CraftingRecipe_Title","Craft 5 Poisonous Arrows"
"Poisoned_Bolt_CraftingRecipe_Title","Craft 5 Poisonous Bolts"
"Poisoned_Arrow_GhoulsCaress_Description","These projectiles have a small pocket of poison attached to their tip, so that they will deal the effect of poison on a successful hit. These particular arrows use Ghoul's Caress."
"Coparann_Lightfiller_Document_Title","Dusty Old Book"
"Coparann_Lightfiller_Document_Description","This looks like a list of guidelines for the fortress's personnel. It's clearly from the Manacalon era, long before the reign of the Ceannards."
"Legendary_Document_Title","The War of the Gods"
"Legendary_Document_Description","You noted this from the scriptures on the temple's wall. It seems to be the ancient story of Arivad's fall, on Tirmar, before the Cataclysm."
"Legendary_Document_Content00","The Schism of Arivad"
"Legendary_Document_Content01","The primal gods formed a balanced ensemble when mankind rose on Tirmar. Arun was the first, Maraike with him. Pakri and Arivad came into being and consolidated the quartet."
"Legendary_Document_Content02","Arun rose, he was higher than others, the first and mightiest."
"Legendary_Document_Content03","Then Arun stood aside, desiring above all balance between the gods."
"Legendary_Document_Content04","Pakri had been watching the whole time. She took a more central role to bring balance to mankind."
"Legendary_Document_Content05","The dark days came and men prayed for a strong god to protect them against the Sorr-Akkath. Arivad ascended as the new leader of the gods."
"Legendary_Document_Content06","Sorr-Tarr corrupted Arivad, causing the schism. Arivad split into two entities: Einar was born, clean of all corruption. Arivad remained forever tainted. They were four no longer, but five."
"Tirmarian_GreataxeTypeTitle","Sandraven Holy Axe"
"BoltStuff_Title","Projectile Parts"
"BoltStuff_Description","A pack of heads and tails to make bolts or arrows from using smith's tools."
"BoltStuff_Recipe_Title","Craft 20 Crossbow Bolts"
"ArrowStuff_Recipe_Title","Craft 20 Arrows"
"ArtisanToolSmith_Title","Small Smith Toolkit"
"ArtisanToolSmith_Description","This set of tools allows a skilled individual to craft their own bolts and arrows."
"Subquest_Lawkeeper_RodricHideoutNote_Title","Handwritten Note"
"Subquest_Lawkeeper_RodricHideoutNote_Description","This note proves that Rodric is involved in criminal activities."
"Subquest_Lawkeeper_RodricHideoutNote_Content","We still have not received the last supply. The clients are not as lenient as I am. You have five days to bring the goods, or we'll come and take it ourselves. - Rodric"
"Aristocrat_AdriasJournal_Title","Adria's Journal"
"Aristocrat_AdriasJournal_Description","A personal journal with most of its pages torn out. The remaining ones tell a dark tale of falling under the dominion of Arivad."
"SpoonOfDiscord_Title","Spoon of Discord"
"SpoonOfDiscord_Description","A strange artifact which belonged to an even stranger cult. That, or you got bamboozled by the merchant who sold it to you."
"OneRing_Title","One Ring"
"OneRing_Description","Wearing this ring makes you terribly uncomfortable, and you feel like you're being watched. That being said, it somehow seems to make you stealthier. It was created for Silent Whisper spies and assassins. "
"SixLeaguesBoots_Title","Six-League Boots"
"SixLeaguesBoots_Description","It might not make you the fastest being alive, but it does put some pep in your step! Crafted by Lily Longstrider for her forays outside Olme Fen. "
"Sellsword_Background_Quest_FarmhouseKey_Title","House Key"
"Sellsword_Background_Quest_FarmhouseKey_Description","This key opens a small house in the Vale of Coparann."
"Sellsword_Background_Quest_Document_01_Title","Letter from Mildred"
"Sellsword_Background_Quest_Document_01_Description","Annie gave you this letter. It's from Mildred, the innkeeper of Coparann."
"Sellsword_Background_Quest_Document_02_Title","Letter from Your Parents"
"Sellsword_Background_Quest_Document_02_Description","Mildred gave you this old letter from your parents."
"Sellsword_Background_Quest_Document_03_Title","Handwritten Note"
"Sellsword_Background_Quest_Document_03_Description","This handwritten note was found inside your family farmhouse near Coparann. It's proof Soraks are involved."
"Sellsword_Background_Quest_Document_04_Description","This document is an official order from Sergeant Nikannen allowing you to retrieve the key to your house from the Archivist in Coparann Keep Basement."
"Lowlife_Quest_MagicalSword_Title","Magical Sword"
"Lowlife_Quest_MagicalSword_Description","This is the magical sword Annie is looking for. It seems strongly imbued with magic."
"Sigil_Ring_Abjuration_Title","Sigil Ring of Abjuration"
"Sigil_Ring_Abjuration_Description","A gift from Master Adrasteia for helping her and Kythaela. Sigil rings are a clear sign of draconic favor: they can only be given freely. None have been seen since the Fall of Manacalon."
"Sigil_Ring_Necromancy_Title","Sigil Ring of Necromancy"
"Sigil_Ring_Necromancy_Description","A gift from Master Mardracht for convincing him to redeem his gem of Necromancy. Sigil rings are a clear sign of draconic favor: they can only be given freely. None have been seen since the Fall of Manacalon."
"PickupQuest_Item_HiddenBlade_Title","Sorr-Akkath Blade"
"PickupQuest_Item_HiddenBlade_Description","This broken blade you discovered near the camp might have belonged to a Sorr-Akkath. It looks like no weapon you've ever seen before, and it is covered in black paint, so it doesn't shine when illuminated. There are words written on it in a language not spoken on Solasta."
"PickupQuest_Item_PaintedHide_Title","Painted Hide"
"PickupQuest_Item_PaintedHide_Description","This rolled-up hide is daubed with strange-looking symbols, probably goblin writing."
"PickupQuest_Item_ChroniclesOfTheInquisition_Title","Chronicles of the Inquisition"
"PickupQuest_Item_ChroniclesOfTheInquisition_Description","This very old book from Tirmar tells the story of how the Inquisition led the fight against the Sorr-Akkath."
"PickupQuest_Item_CrownNotes_Title","Ancient Inscriptions"
"PickupQuest_Item_CrownNotes_Description","Notes taken from the pedestal where you found the Crown."
"PickupQuest_Item_ImperialInsignia_Title","Insignia of the First Legion"
"PickupQuest_Item_ImperialInsignia_Description","A pre-Cataclysm insignia from the First Legion of the Manacalon Empire."
"PickupQuest_Item_SylvanRebelJournal_Title","Sylvan Rebel Journal"
"PickupQuest_Item_SylvanRebelJournal_Description","An old collection of papers bearing the last writings of a famous Sylvan Elf rebel under the Second Imperial Expansion."
"PickupQuest_Item_SylvanRebelJournal_Content01","This Is Not the End"
"PickupQuest_Item_SylvanRebelJournal_Content02","If you read this, then I am gone! Rest assured I fell fighting to the last and refused to bow! Beware the cunning of Manacalon, but trust your sisters and brothers in arms! In the end, the Coedymwarth is more than an organization; it is the embodiment of the resilience of the free spirit confronted by the vilest tyranny!"
"PickupQuest_Item_DanantarLetterTitle","Ancient Letter"
"PickupQuest_Item_DanantarLetterDescription","A short letter written as a testimony by an ancestor of Lord Danantar."
"PickupQuest_Item_DanantarLetterContent01","Farewell to the Shield"
"PickupQuest_Item_DanantarLetterContent02","I just received my orders! I shall leave the service of my beloved Adrasteia to head to the outer provinces! A new school of magic is opening for Spellblades and I am being sent there as headteacher in recognition of my years of faithful service. I leave behind this dagger as a testimony to my enduring love and respect for my mentor, Adrasteia the Prudent Shield, Master of the Arcaneum."
"MagisterTooth_Title","Dragon Tooth"
"MagisterTooth_Description","This tooth was found in a pile of dragon bones. It must have belonged to the Magister, himself a dragon!"
"EverlastingTorch_Title","Everlasting Torch"
"EverlastingTorch_Description","Standard piece of kit for Inquisition strike teams going after Soraks on Tirmar. Instantly adopted on Solasta."
"LoadedDice_Title","Loaded Dice"
"LoadedDice_Description","Priests of Misaye have been known to use such dice to great effect! "
"PickupQuest_Item_MagisterAmulet_Title","The Magister's Amulet"
"PickupQuest_Item_MagisterAmulet_Description","This jeweled amulet is huge - too big, surely, to belong to anyone human-sized."
"ScrollHasteDescription","When you use this scroll, you cast the Haste spell."
"ScrollHasteTitle","Scroll of Haste"
"ScrollConjureAnimalsDescription","When you use this scroll, you cast the Conjure Animals spell."
"ScrollConjureAnimalsTitle","Scroll of Conjure Animals"
"ScrollDaylightDescription","When you use this scroll, you cast the Daylight spell."
"ScrollDaylightTitle","Scroll of Daylight"
"ScrollFlyDescription","When you use this scroll, you cast the Fly spell."
"ScrollFlyTitle","Scroll of Fly"
"ScrollSleetStormDescription","When you use this scroll, you cast the Sleet Storm spell."
"ScrollSleetStormTitle","Scroll of Sleet Storm"
"ScrollSlowDescription","When you use this scroll, you cast the Slow spell."
"ScrollSlowTitle","Scroll of Slow"
"ScrollSpiritGuardiansDescription","When you use this scroll, you cast the Spirit Guardians spell."
"ScrollSpiritGuardiansTitle","Scroll of Spirit Guardians"
"ScrollStinkingCloudDescription","When you use this scroll, you cast the Stinking Cloud spell."
"ScrollStinkingCloudTitle","Scroll of Stinking Cloud"
"ScrollTonguesDescription","When you use this scroll, you cast the Tongues spell."
"ScrollTonguesTitle","Scroll of Tongues"
"ScrollMassHealingWordDescription","When you use this scroll, you cast the Mass Healing Word spell."
"ScrollMassHealingWordTitle","Scroll of Mass Healing Word"
"DaggerPlus2TypeTitle","Dagger +2"
"DaggerPlus2TypeDescription","TBC lore"
"ShortbowPlus2TypeTitle","Shortbow +2"
"ShortbowPlus2TypeDescription","TBC lore"
"Longbow_plus_1_Unidentified_Title","Magnificent Longbow"
"Longbow_plus_1_Unidentified_Description","A finely crafted longbow with engravings and runes. Probably magical."
"LongbowPlus1TypeTitle","Longbow +1"
"LongbowPlus1TypeDescription","TBC lore"
"Morningstar_plus_2_Title","Morningstar +2"
"Morningstar_plus_2_Description","TBC lore"
"Tirmarian_GreataxeTypeDescription","This wonderfully crated axe bears the hallmarks of Tirmarian craftsmen! How it landed among orcish treasure is just another mystery of the Badlands!"
"BattleAxe_plus_1_Unidentified_Title","Magnificent Battle Axe"
"BattleAxe_plus_1_Unidentified_Description","A finely crafted battleaxe with engravings and runes. Probably magical."
"Warhammer_plus_1_Title","Warhammer +1"
"Warhammer_plus_1_Description","TBC"
"Warhammer_plus_1_unidentified_Title","Superb Warhammer"
"Warhammer_plus_1_unidentified_Description","A well-balanced and extremely sturdy warhammer."
"HelmLanguages_Title","Helm of Comprehending Languages"
"HelmLanguages_Description","Allows you to cast the Tongues spell at will, and to decipher and speak all languages."
"HelmLanguages_Unidentified_Title","Beautiful Helm"
"HelmLanguages_Unidentified_Description","This helm is too light to provide any protection, but it might have magical properties."
"Spy_Background_Quest_Document_01_Title","Incriminating Dossier"
"Spy_Background_Quest_Document_01_Description","This sealed document contains information about Lord Belmont. Enough to ruin his reputation."
"MorningstarOfPower_Function_Description","Your Strength score is 19 while you are wielding this weapon. It has no effect on you if your Strength score is already 19 or higher."
"Enchanted_ScaleArmor_Of_Robustness_Title","Scale Armor of Robustness"
"Enchanted_ScaleArmor_Of_Robustness_Description","Lore TBD"
"GreenmageArmor_Title","Sylvan Armor"
"GreenmageArmor_Description","Eirollimon Apasseich helped design this armor to support his students in their endeavors as Greenmages protecting the borders of Colthannin."
"ClothOfTheLightbringers_Title","Cloth of the Lightbringers"
"ClothOfTheLightbringers_Description","This cloth was designed and enchanted by the clerics of a Tirmarian cult to equip their paladins."
"ElvenChain_Title","Colthannin Chain"
"ElvenChain_Description","This magical chain mail was designed for the sylvan fighters of Colthannin, who were not proficient with heavy armor."
"ElvenChain_Unidentified_Title","Elven Chain Mail"
"ElvenChain_Unidentified_Description","This chain mail is magnificently decorated in the elvish style, and is much lighter than it appears."
"AdamantinePlate_Title","Adamantine Plate Armor"
"AdamantinePlate_Description","The first bearer of this armor was Ketil Strongshield, champion of the Snow Alliance against Manacalon. The toughness of his armor led to ever deeper digging from Alliance miners to equip their best fighters. "
"Enchanted_WeaponOfAcuteness_Description","This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum."
"ArrowPlus2Title","Arrow +2"
"Enchanted_WeaponOfSharpness_Description","This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was the masterful effort of Elgador Keenspirit, Magesmith of the Arcaneum."
"_Item_Legendary_RingofTheLordInquisitor_Title","Ring of the Lord Inquisitor"
"_Item_Legendary_RingofTheLordInquisitor_Description","This ring belonged to Hyeronimus Bash, Lord Inquisitor of the Church of Arivad, before his god betrayed humanity. When that happened, Hyeronimus sealed this ring inside the temple, before joining the cult of Einar. Legend has it that Hyeronimus was the last man standing at the Battle of the Rift."
"AlchemistFire_Title","Alchemist Fire"
"AlchemistFire_Description","An explosive compound you can toss to set an enemy on fire."
"LavaBlast_Title","Lava Blast"
"LavaBlast_Description","A powerful explosive compound you can toss to set an enemy on fire."
"AcidVial_Title","Acid Vial"
"AcidVial_Description","An explosive compound you can toss to burn an enemy with acid."
"HolyWater_Title","Holy Water"
"HolyWater_Description","A small vial you can toss to an undead or fiend to burn it with radiant power."
"Document_Lowlife_Note_Title","Handwritten Note"
"Document_Lowlife_Note_Description","A note found on the attackers who assaulted you as you exited the Temple of Misaye. "
"Document_Lowlife_Note_Content","We found out that this Priest of Misaye - Nel - has the magical sword I was talking about. This bunch of Council deputies seem to be after it, too, so maybe they will get their hands on it. If that happens, you know what to do."
"Dwarvenbread_Description","This bread is so tough to chew that simply carrying it in your Utility Slot fills you with determination. And fortitude. And toothache."
"Dwarvenbread_Title","Dwarven Bread"
"EarlyBird_Title","Early Bird"
"EarlyBird_Description","They say the early bird gets the worm, but this early bird also helps you start punching before everyone else. "
"StaffOfMetis_Description","It is said that the sapphire adorning the Staff of Metis was found inside the acacia tree that was used to carve it, and that it has the power to shield its holder from thunderstorms and other natural disasters."
"StaffOfMetis_Title","Staff of Metis"
"Ingredient_Blood_Ruby_Description","A ruby bathed in magically preserved minotaur blood becomes a blood ruby, often used to enhance strength. "
"Armor_DwarvenPlate_Title","Dwarven Plate"
"Armor_DwarvenPlate_Description","Fighting underground led the dwarves to create this armor to avoid being pushed over stone bridges. "
"ImperialPrisonKey_PickupQuest_GhostsOfTheEmpire_Title","Imperial Prison Key"
"ImperialPrisonKey_PickupQuest_GhostsOfTheEmpire_Description","This was given to you to access the depths of the Imperial prison to recover an item."
"ScrollCloudKillTitle","Scroll of Cloudkill"
"ScrollCloudKillDescription","When you use this scroll, you cast the spell Cloudkill."
"ScrollConeOfColdTitle","Scroll of Cone of Cold"
"ScrollConeOfColdDescription","When you use this scroll, you cast the spell Cone of Cold."
"ScrollConjureElementalTitle","Scroll of Conjure Elemental"
"ScrollConjureElementalDescription","When you use this scroll, you cast the spell Conjure Elemental."
"ScrollContagionTitle","Scroll of Contagion"
"ScrollContagionDescription","When you use this scroll, you cast the spell Contagion."
"ScrollDominatePersonTitle","Scroll of Dominate Person"
"ScrollDominatePersonDescription","When you use this scroll, you cast the spell Dominate Person."
"ScrollDispelEvilAndGoodTitle","Scroll of Dispel Evil and Good"
"ScrollDispelEvilAndGoodDescription","When you use this scroll, you cast the spell Dispel Evil and Good."
"ScrollFlameStrikeTitle","Scroll of Flame Strike"
"ScrollFlameStrikeDescription","When you use this scroll, you cast the spell Flame Strike."
"ScrollGreaterRestorationTitle","Scroll of Greater Restoration"
"ScrollGreaterRestorationDescription","When you use this scroll, you cast the spell Greater Restoration."
"ScrollHoldMonsterTitle","Scroll of Hold Monster"
"ScrollHoldMonsterDescription","When you use this scroll, you cast the spell Hold Monster."
"ScrollInsectPlagueTitle","Scroll of Insect Plague"
"ScrollInsectPlagueDescription","When you use this scroll, you cast the spell Insect Plague."
"ScrollMassCureWoundsTitle","Scroll of Mass Cure Wounds"
"ScrollMassCureWoundsDescription","When you use this scroll, you cast the spell Mass Cure Wounds."
"ScrollMindTwistTitle","Scroll of Mind Twist"
"ScrollMindTwistDescription","When you use this scroll, you cast the spell Mind Twist."
"ScrollBanishmentTitle","Scroll of Banishment"
"ScrollBanishmentDescription","When you use this scroll, you cast the spell Banishment."
"ScrollBlackTentaclesTitle","Scroll of Black Tentacles"
"ScrollBlackTentaclesDescription","When you use this scroll, you cast the spell Black Tentacles."
"ScrollBlightTitle","Scroll of Blight"
"ScrollBlightDescription","When you use this scroll, you cast the spell Blight."
"ScrollConfusionTitle","Scroll of Confusion"
"ScrollConfusionDescription","When you use this scroll, you cast the spell Confusion."
"ScrollDeathwardTitle","Scroll of Deathward"
"ScrollDeathwardDescription","When you use this scroll, you cast the spell Deathward."
"ScrollDimensionDoorTitle","Scroll of Dimension Door"
"ScrollDimensionDoorDescription","When you use this scroll, you cast the spell Dimension Door."
"ScrollFireShieldTitle","Scroll of Fire Shield"
"ScrollFireShieldDescription","When you use this scroll, you cast the spell Fire Shield."
"ScrollGiantInsectTitle","Scroll of Giant Insect"
"ScrollGiantInsectDescription","When you use this scroll, you cast the spell Giant Insect."
"ScrollGreaterInvisibilityTitle","Scroll of Greater Invisibility"
"ScrollGreaterInvisibilityDescription","When you use this scroll, you cast the spell Greater Invisibility."
"ScrollGuardianOfFaithTitle","Scroll of Guardian of Faith"
"ScrollGuardianOfFaithDescription","When you use this scroll, you cast the spell Guardian of Faith."
"ScrollIceStormTitle","Scroll of Ice Storm"
"ScrollIceStormDescription","When you use this scroll, you cast the spell Ice Storm."
"ScrollPhantasmalKillerTitle","Scroll of Phantasmal Killer"
"ScrollPhantasmalKillerDescription","When you use this scroll, you cast the spell Phantasmal Killer."
"ScrollStoneskinTitle","Scroll of Stoneskin"
"ScrollStoneskinDescription","When you use this scroll, you cast the spell Stoneskin."
"ScrollWallOfFireTitle","Scroll of Wall of Fire"
"ScrollWallOfFireDescription","When you use this scroll, you cast the spell Wall of Fire."
"ScrollPassWithoutTraceTitle","Scroll of Pass Without Trace"
"ScrollPassWithoutTraceDescription","When you use this scroll, you cast the spell Pass Without Trace."
"ScrollFreedomOfMovementTitle","Scroll of Freedom of Movement"
"ScrollFreedomOfMovementDescription","When you use this scroll, you cast the spell Freedom of Movement."
"ScrollCommandTitle","Scroll of Command"
"ScrollCommandDescription","When you use this scroll, you cast the spell Command."
"ScrollConjureMinorElementalsTitle","Scroll of Conjure Minor Elementals"
"ScrollConjureMinorElementalsDescription","When you use this scroll, you cast the spell Conjure Minor Elementals."
"ScrollEntangleTitle","Scroll of Entangle"
"ScrollEntangleDescription","When you use this scroll, you cast the spell Entangle."
"Breastplate_Unidentified_Title","Magnificent Breastplate"
"Breastplate_Unidentified_Description","A nicely decorated breastplate with runic engravings."
"Breastplate_plus_one_Title","Breastplate +1"
"Breastplate_plus_one_Description","This armor was forged by Ildurial for the Emperor's personal guard."
"ScrollCounterspellTitle","Scroll of Counterspell"
"ScrollCounterspellDescription","When you use this scroll, you cast the spell Counterspell."
"ScrollDispelMagicTitle","Scroll of Dispel Magic"
"ScrollDispelMagicDescription","When you use this scroll, you cast the spell Dispel Magic."
"ScrollFearTitle","Scroll of Fear"
"ScrollFearDescription","When you use this scroll, you cast the spell Fear."
"ScrollHypnoticPatternTitle","Scroll of Hypnotic Pattern"
"ScrollHypnoticPatternDescription","When you use this scroll, you cast the spell Hypnotic Pattern."
"ScrollProtectionFromEnergyTitle","Scroll of Protection from Energy"
"ScrollProtectionFromEnergyDescription","When you use this scroll, you cast the spell Protection from Energy."
"ScrollRemoveCurseTitle","Scroll of Remove Curse"
"ScrollRemoveCurseDescription","When you use this scroll, you cast the spell Remove Curse."
"ScrollVampiricTouchTitle","Scroll of Vampiric Touch"
"ScrollVampiricTouchDescription","When you use this scroll, you cast the spell Vampiric Touch."
"ScrollBlindnessTitle","Scroll of Blindness"
"ScrollBlindnessDescription","When you use this scroll, you cast the spell Blindness."
"ScrollBlurTitle","Scroll of Blur"
"ScrollBlurDescription","When you use this scroll, you cast the spell Blur."
"ScrollDarknessTitle","Scroll of Darkness"
"ScrollDarknessDescription","When you use this scroll, you cast the spell Darkness."
"ScrollDarkvisionTitle","Scroll of Darkvision"
"ScrollDarkvisionDescription","When you use this scroll, you cast the spell Darkvision."
"ScrollFindTrapsTitle","Scroll of Find Traps"
"ScrollFindTrapsDescription","When you use this scroll, you cast the spell Find Traps."
"ScrollFlameBladeTitle","Scroll of Flame Blade"
"ScrollFlameBladeDescription","When you use this scroll, you cast the spell Flame Blade."
"ScrollFlamingSphereTitle","Scroll of Flaming Sphere"
"ScrollFlamingSphereDescription","When you use this scroll, you cast the spell Flaming Sphere."
"ScrollInvisibilityTitle","Scroll of Invisibility"
"ScrollInvisibilityDescription","When you use this scroll, you cast the spell Invisibility."
"ScrollKnockTitle","Scroll of Knock"
"ScrollKnockDescription","When you use this scroll, you cast the spell Knock."
"ScrollLevitateTitle","Scroll of Levitate"
"ScrollLevitateDescription","When you use this scroll, you cast the spell Levitate."
"ScrollMagicWeaponTitle","Scroll of Magic Weapon"
"ScrollMagicWeaponDescription","When you use this scroll, you cast the spell Magic Weapon."
"ScrollMirrorImageTitle","Scroll of Mirror Image"
"ScrollMirrorImageDescription","When you use this scroll, you cast the spell Mirror Image."
"ScrollMistyStepTitle","Scroll of Misty Step"
"ScrollMistyStepDescription","When you use this scroll, you cast the spell Misty Step."
"ScrollRayOfEnfeeblementTitle","Scroll of Ray of Enfeeblement"
"ScrollRayOfEnfeeblementDescription","When you use this scroll, you cast the spell Ray of Enfeeblement."
"ScrollSeeInvisibilityTitle","Scroll of See Invisibility"
"ScrollSeeInvisibilityDescription","When you use this scroll, you cast the spell See Invisibility."
"ScrollShatterTitle","Scroll of Shatter"
"ScrollShatterDescription","When you use this scroll, you cast the spell Shatter."
"ScrollSilenceTitle","Scroll of Silence"
"ScrollSilenceDescription","When you use this scroll, you cast the spell Silence."
"ScrollSpiderClimbTitle","Scroll of Spider Climb"
"ScrollSpiderClimbDescription","When you use this scroll, you cast the spell Spider Climb."
"ScrollSpiritualWeaponTitle","Scroll of Spiritual Weapon"
"ScrollSpiritualWeaponDescription","When you use this scroll, you cast the spell Spiritual Weapon."
"ScrollWardingBondTitle","Scroll of Warding Bond"
"ScrollWardingBondDescription","When you use this scroll, you cast the spell Warding Bond."
"ScrollAnimalFriendshipTitle","Scroll of Animal Friendship"
"ScrollAnimalFriendshipDescription","When you use this scroll, you cast the spell Animal Friendship."
"ScrollCharmPersonTitle","Scroll of Charm Person"
"ScrollCharmPersonDescription","When you use this scroll, you cast the spell Charm Person."
"ScrollComprehendLanguagesTitle","Scroll of Comprehend Languages"
"ScrollComprehendLanguagesDescription","When you use this scroll, you cast the spell Comprehend Languages."
"ScrollDetectEvilAndGoodTitle","Scroll of Detect Evil and Good"
"ScrollDetectEvilAndGoodDescription","When you use this scroll, you cast the spell Detect Evil And Good."
"ScrollDetectMagicTitle","Scroll of Detect Magic"
"ScrollDetectMagicDescription","When you use this scroll, you cast the spell Detect Magic."
"ScrollDetectionPoisonAndDiseaseTitle","Scroll of Detect Poison and Disease"
"ScrollDetectionPoisonAndDiseaseDescription","When you use this scroll, you cast the spell Detect Poison and Disease."
"ScrollFaerieFireTitle","Scroll of Faerie Fire"
"ScrollFaerieFireDescription","When you use this scroll, you cast the spell Faerie Fire."
"ScrollFeatherFallTitle","Scroll of Feather Fall"
"ScrollFeatherFallDescription","When you use this scroll, you cast the spell Feather Fall."
"ScrollInflictWoundsTitle","Scroll of Inflict Wounds"
"ScrollInflictWoundsDescription","When you use this scroll, you cast the spell Inflict Wounds."
"ScrollShieldTitle","Scroll of Shield"
"ScrollShieldDescription","When you use this scroll, you cast the spell Shield."
"LeatherArmorPlus+2_Title","Leather Armor +2"
"ChainmailPlus1_Unidentified_Title","Magnificent Chainmail"
"ChainmailPlus1_Unidentified_Description","This finely crafted chainmail is light and extremely sturdy, and probably magical."
"Poison_BrimstoneFangPoisonedArrow_Title","Brimstone Fang Poisoned Arrow"
"Poison_BrimstoneFangPoisonedBolt_Title","Brimstone Fang Poisoned Bolt"
"Poison_TigerFangPoisonedArrow_Title","Tiger Fang Poisoned Arrow"
"Poison_TigerFangPoisonedBolt_Title","Tiger Fang Poisoned Bolt"
"Poison_DarkStabPoisonedArrow_Title","Dark Stab Poisoned Arrow"
"Poison_DarkStabPoisonedBolt_Title","Dark Stab Poisoned Bolt"
"Poison_DeepPainPoisonedArrow_Title","Deep Pain Poisoned Arrow"
"Poison_DeepPainPoisonedBolt_Title","Deep Pain Poisoned Bolt"
"Poison_ArivadsKissPoisonedArrow_Title","Arivad's Kiss Poisoned Arrow"
"Poison_ArivadsKissPoisonedBolt_Title","Arivad's Kiss Poisoned Bolt"
"Poison_ArunsLightPoisonedArrow_Title","Arun's Light Poisoned Arrow"
"Poison_ArunsLightPoisonedBolt_Title","Arun's Light Poisoned Bolt"
"Poison_TheLongNightPoisonedArrow_Title","Long Night Poisoned Arrow"
"Poison_TheLongNightPoisonedBolt_Title","Long Night Poisoned Bolt"
"Poison_TheBurdenPoisonedArrow_Title","Burden Poisoned Arrow"
"Poison_TheBurdenPoisonedBolt_Title","Burden Poisoned Bolt"
"Poison_GhoulsCaressPoisonedArrow_Title","Ghoul's Caress Poisoned Arrow"
"Poison_GhoulsCaressPoisonedBolt_Title","Ghoul's Caress Poisoned Bolt"
"Poison_MaraikesTorpor_Arrow_Title","Torpor Poisoned Arrow"
"Poison_MaraikesTorpor_Bolt_Title","Torpor Poisoned Bolt"
"Poison_Basic_Arrow_Title","Basic Poisoned Arrow"
"Poison_Basic_Bolt_Title","Basic Poisoned Bolt"
"Poison_Queen_Arrow_Title","Queen's Blood Poisoned Arrow"
"Poison_Queen_Bolt_Title","Queen's Blood Poisoned Bolt"
"CraftingManual_x5_Title","Crafting 5 x {0}"
"ClothLightbringers_unidentified_Title","Tirmarian Outfit"
"ClothLightbringers_unidentified_Description","This finely decorated outfit bears typical Tirmarian symbols."
"Halman_Document_Title","Encrypted Letter"
"Halman_Document_Description","This document uses a cipher to conceal its content."
"Halman_Document_Content","Everything is going according to plan. Now, drive these adventurers far away from the city. Tell them you heard of a coven in Earcorn. Power to the One!"
"Halman_Document_ConspirationTitle","List of Prospects"
"Halman_Document_ConspirationDescription","This document is a list of people from the city that the cultists of Arivad hope to enlist, with an evaluation of their chances of success. It also contains a list of those who already joined the cult."
"TempleKey_Title","Temple Key"
"TempleKey_Description","Beric Sunblaze gave you this key. It opens all the doors in the Temple of Einar."
"PickupQuest_Item_Aquila_Title","Imperial Aquila"
"PickupQuest_Item_Aquila_Description","This decoration was part of a Manacalon battle standard. It's in bad shape but scholars might find it interesting enough."
"PickupQuest_Item_Cypher_Title","Silent Whisper Cipher Disk"
